bucket,count,avg_model_prob,win_rate,avg_expected_ev,avg_realized_pnl,gap
0.0-0.1,15,0.07088826666666666,0.7333333333333333,5.017333333333334,8.947333333333335,0.6624450666666666
0.1-0.2,40,0.154248675,0.4,8.42025,-6.9485,0.24575132500000002
0.2-0.3,34,0.2546325588235294,0.35294117647058826,6.989117647058824,-0.37352941176470555,0.09830861764705884
0.3-0.4,23,0.3459655217391305,0.391304347826087,7.776521739130436,-1.9430434782608703,0.045338826086956496
0.4-0.5,12,0.45606758333333336,0.3333333333333333,2.9375,-6.733333333333333,-0.12273425000000004
0.5-0.6,23,0.5539284782608697,0.391304347826087,6.226086956521739,-1.576086956521739,-0.1626241304347827
0.6-0.7,23,0.643465043478261,0.43478260869565216,6.338695652173913,19.808695652173913,-0.20868243478260878
0.7-0.8,29,0.7496904827586207,0.3793103448275862,8.791379310344828,15.62103448275862,-0.3703801379310345
0.8-0.9,31,0.8479640967741936,0.45161290322580644,9.442258064516128,22.62322580645161,-0.39635119354838716
0.9-1.0,6,0.9325331666666666,0.8333333333333334,6.77,8.198333333333332,-0.09919983333333326
