trade_id,timestamp_utc,event,market,side,strike,price,outcome_price,size,model_probability,ev_per_contract,ev_dollars,edge_pct,realized_pnl,spot_price,last_candle_close,spot_candle_gap_pct,annual_vol,horizon_hours,settlement_time_utc,settlement_mode,notes
T1768990918,2026-01-21T10:21:58.662439+00:00,OPEN,btc-hourly-6am,YES,89500.0,0.11690476190476191,,42,0.251632,0.1347,5.66,1.1525,,89253.07,89272.01,0.0212,0.4822,0.642,2026-01-21T11:00:00+00:00,hourly,
T1768992914,2026-01-21T10:55:14.469865+00:00,OPEN,btc-hourly-6am,YES,89250.0,0.19040816326530613,,49,0.355207,0.1648,8.08,0.8655,,89195.84,89208.94,0.0147,0.4825,0.101,2026-01-21T11:00:00+00:00,hourly,
T1768993917,2026-01-21T11:11:57.678356+00:00,OPEN,btc-hourly-7am,NO,88750.0,0.05333333333333333,,93,0.182869,0.1295,12.05,2.4288,,89123.96,89123.97,0.0,0.4825,0.814,2026-01-21T12:00:00+00:00,hourly,
T1768990068,2026-01-21T12:47:28.325195+00:00,CLOSE,btc-hourly-6am,YES,89500.0,0.167073,0.000000,41,0.246988,0.0799,3.28,0.4783,-6.85,89204.45,89201.17,0.0037,0.4827,0.88,2026-01-21T11:00:00+00:00,hourly,close_type=LOSS | PnL: -6.85
T1768990162,2026-01-21T12:48:01.545081+00:00,CLOSE,btc-hourly-6am,NO,89000.0,0.211277,0.000000,47,0.308619,0.0973,4.58,0.4607,-9.93,89212.68,89204.0,0.0097,0.4826,0.858,2026-01-21T11:00:00+00:00,hourly,close_type=LOSS | PnL: -9.93
T1768990456,2026-01-21T12:48:15.410940+00:00,CLOSE,btc-hourly-6am,NO,88750.0,0.071951,0.000000,41,0.149044,0.0771,3.16,1.0715,-2.95,89173.5,89155.23,0.0205,0.4827,0.788,2026-01-21T11:00:00+00:00,hourly,close_type=LOSS | PnL: -2.95
T1768990918,2026-01-21T12:48:33.006378+00:00,CLOSE,btc-hourly-6am,YES,89500.0,0.116905,0.000000,42,0.251632,0.1347,5.66,1.1525,-4.91,89253.07,89272.01,0.0212,0.4822,0.642,2026-01-21T11:00:00+00:00,hourly,close_type=LOSS | PnL: -4.91
T1768992914,2026-01-21T12:48:52.141250+00:00,CLOSE,btc-hourly-6am,YES,89250.0,0.190408,0.000000,49,0.355207,0.1648,8.08,0.8655,-9.33,89195.84,89208.94,0.0147,0.4825,0.101,2026-01-21T11:00:00+00:00,hourly,close_type=LOSS | PnL: -9.33
T1768993917,2026-01-21T12:49:06.259543+00:00,CLOSE,btc-hourly-7am,NO,88750.0,0.053333,1.000000,93,0.182869,0.1295,12.05,2.4288,88.04,89123.96,89123.97,0.0,0.4825,0.814,2026-01-21T12:00:00+00:00,hourly,close_type=WIN | PnL: +88.04
T1769042293,2026-01-22T00:38:13.722524+00:00,OPEN,btc-hourly-8pm,NO,89500.0,0.06397849462365592,,93,0.176235,0.1123,10.44,1.7546,,89812.32,89796.67,0.0174,0.5615,0.39,2026-01-22T01:00:00+00:00,hourly,
T1769042407,2026-01-22T00:40:07.880215+00:00,OPEN,btc-hourly-8pm,NO,89750.0,0.2736111111111111,,36,0.398239,0.1246,4.49,0.4555,,89831.24,89825.96,0.0059,0.5598,0.344,2026-01-22T01:00:00+00:00,hourly,
T1769042767,2026-01-22T00:46:07.103584+00:00,OPEN,btc-hourly-8pm,YES,90000.0,0.12743589743589742,,39,0.303315,0.1759,6.86,1.3801,,89862.21,89864.76,0.0028,0.5597,0.248,2026-01-22T01:00:00+00:00,hourly,
T1769044781,2026-01-22T01:19:41.151343+00:00,OPEN,btc-hourly-9pm,YES,90250.0,0.20081632653061224,,49,0.319457,0.1186,5.81,0.5908,,90039.99,90036.0,0.0044,0.5608,0.687,2026-01-22T02:00:00+00:00,hourly,
T1769042293,2026-01-22T01:20:02.756133+00:00,CLOSE,btc-hourly-8pm,NO,89500.0,0.063978,0.000000,93,0.176235,0.1123,10.44,1.7546,-5.95,89812.32,89796.67,0.0174,0.5615,0.39,2026-01-22T01:00:00+00:00,hourly,close_type=LOSS | PnL: -5.95
T1769042407,2026-01-22T01:20:16.625048+00:00,CLOSE,btc-hourly-8pm,NO,89750.0,0.273611,0.000000,36,0.398239,0.1246,4.49,0.4555,-9.85,89831.24,89825.96,0.0059,0.5598,0.344,2026-01-22T01:00:00+00:00,hourly,close_type=LOSS | PnL: -9.85
T1769042767,2026-01-22T01:20:28.048786+00:00,CLOSE,btc-hourly-8pm,YES,90000.0,0.127436,0.000000,39,0.303315,0.1759,6.86,1.3801,-4.97,89862.21,89864.76,0.0028,0.5597,0.248,2026-01-22T01:00:00+00:00,hourly,close_type=LOSS | PnL: -4.97
T1769045198,2026-01-22T01:26:38.905776+00:00,OPEN,btc-hourly-9pm,YES,90250.0,0.19040816326530613,,49,0.321573,0.1312,6.43,0.6889,,90061.04,90061.05,0.0,0.5607,0.571,2026-01-22T02:00:00+00:00,hourly,
T1769045305,2026-01-22T01:28:25.090143+00:00,OPEN,btc-hourly-9pm,YES,90500.0,0.07462686567164178,,67,0.13955,0.0649,4.35,0.87,,90068.93,90061.05,0.0087,0.5607,0.543,2026-01-22T02:00:00+00:00,hourly,
T1769046195,2026-01-22T01:43:15.280711+00:00,OPEN,btc-hourly-9pm,YES,90000.0,0.2424390243902439,,82,0.341279,0.0988,8.1,0.4077,,89881.07,89872.96,0.009,0.5605,0.292,2026-01-22T02:00:00+00:00,hourly,
T1769048251,2026-01-22T02:17:31.786526+00:00,OPEN,btc-hourly-10pm,NO,90000.0,0.2736111111111111,,36,0.379708,0.1061,3.82,0.3878,,90140.1,90096.22,0.0487,0.561,0.718,2026-01-22T03:00:00+00:00,hourly,
T1769044781,2026-01-22T02:17:53.297151+00:00,CLOSE,btc-hourly-9pm,YES,90250.0,0.200816,0.000000,49,0.319457,0.1186,5.81,0.5908,-9.84,90039.99,90036.0,0.0044,0.5608,0.687,2026-01-22T02:00:00+00:00,hourly,close_type=LOSS | PnL: -9.84
T1769045198,2026-01-22T02:18:02.111308+00:00,CLOSE,btc-hourly-9pm,YES,90250.0,0.190408,0.000000,49,0.321573,0.1312,6.43,0.6889,-9.33,90061.04,90061.05,0.0,0.5607,0.571,2026-01-22T02:00:00+00:00,hourly,close_type=LOSS | PnL: -9.33
T1769045305,2026-01-22T02:18:12.428329+00:00,CLOSE,btc-hourly-9pm,YES,90500.0,0.074627,0.000000,67,0.13955,0.0649,4.35,0.87,-5.00,90068.93,90061.05,0.0087,0.5607,0.543,2026-01-22T02:00:00+00:00,hourly,close_type=LOSS | PnL: -5.00
T1769046195,2026-01-22T02:18:29.846964+00:00,CLOSE,btc-hourly-9pm,YES,90000.0,0.242439,1.000000,82,0.341279,0.0988,8.1,0.4077,62.12,89881.07,89872.96,0.009,0.5605,0.292,2026-01-22T02:00:00+00:00,hourly,close_type=WIN | PnL: +62.12
