trade_id,open_time,market,side,strike,entry_price,size,model_prob_used,expected_ev_dollars,outcome_price,realized_pnl,hold_minutes,log_lag_minutes,edge_pct,notes_close
T1767328551,2026-01-02 04:35:51.269455+00:00,btc-hourly-1/1/26,NO,88750.0,0.65,15,0.295798,0.81,1.0,5.25,24.14550908333333,3.339929183333333,0.0834,close_type=WIN | PnL: +5.25
T1767330731,2026-01-02 05:12:11.880325+00:00,btc-daily,YES,87750.0,0.7150000000000001,20,0.868479,3.07,1.0,5.7,1007.8019945833333,49.768720466666664,0.2147,close_type=WIN | PnL: +5.70
T1767330945,2026-01-02 05:15:45.274266+00:00,btc-daily,NO,89250.0,0.6952380952380952,210,0.192508,23.57,0.0,-146.0,1004.2454289,50.18529926666667,0.1615,paper | close_type=LOSS | PnL: -146.00
T1767379121,2026-01-02 18:38:41.371335+00:00,btc-hourly,NO,90250.0,0.792063492063492,126,0.13126899999999997,9.66,1.0,26.2,21.31047775,1.4217381,0.0968,close_type=WIN | PnL: +26.20
T1767383252,2026-01-02 19:47:32.686531+00:00,btc-hourly,NO,89750.0,0.0426923076923076,234,0.898837,13.68,0.0,-9.99,12.455224483333334,18.9805469,1.3696,PAPER | close_type=LOSS | PnL: -9.99
T1767411774,2026-01-03 03:42:54.078882+00:00,btc-hourly,YES,90250.0,0.2536842105263158,38,0.415207,6.14,0.8226,21.62,17.0986853,-8.4382238,0.6367,model 62% cashout 82% | close_type=CASHOUT | exit_price=0.822600 | PnL: +21.62
T1767412488,2026-01-03 03:54:48.201637+00:00,btc-hourly,NO,90250.0,0.0694444444444444,72,0.695639,16.91,0.0,-5.0,5.196639383333333,5.295139683333333,3.3828,close_type=LOSS | PnL: -5.00
T1767413661,2026-01-03 04:14:21.735206+00:00,btc-hourly-12am,NO,90000.0,0.07734375,64,0.764178,10.14,0.0,-4.95,45.63774656666667,1.1802077166666665,2.049,close_type=LOSS | PnL: -4.95
T1767413773,2026-01-03 04:16:13.261953+00:00,btc-hourly-12am,YES,90500.0,0.0639743589743589,78,0.215277,11.8,0.0,-4.99,43.778967449999996,1.6757598833333334,2.3651,close_type=LOSS | PnL: -4.99
T1767415320,2026-01-03 04:42:00.362174+00:00,btc-hourly-12am,YES,90250.0,0.1169999999999999,40,0.282448,6.62,0.0,-4.68,17.993963766666663,1.8877924166666666,1.4141,close_type=LOSS | PnL: -4.68
